year,transect_label,transect,transect.year,segment,survey_1,survey_2,survey_3
2012,A1,1,1,1,NA,NA,NA
2012,A1,1,1,2,NA,NA,NA
2012,A1,1,1,3,NA,NA,NA
2012,A1,1,1,4,NA,NA,NA
2012,A1,1,1,5,NA,NA,NA
2012,A1,1,1,6,NA,NA,NA
2012,A1,1,1,7,NA,NA,NA
2012,A1,1,1,8,NA,NA,NA
2012,A1,1,1,9,NA,NA,NA
2012,A1,1,1,10,NA,NA,NA
2012,A2,2,2,1,0,1,NA
2012,A2,2,2,2,1,1,NA
2012,A2,2,2,3,1,1,NA
2012,A2,2,2,4,1,1,NA
2012,A2,2,2,5,1,1,NA
2012,A2,2,2,6,1,1,NA
2012,A2,2,2,7,1,0,NA
2012,A2,2,2,8,1,1,NA
2012,A2,2,2,9,1,0,NA
2012,A2,2,2,10,1,1,NA
2012,A3,3,3,1,1,1,NA
2012,A3,3,3,2,1,1,NA
2012,A3,3,3,3,1,1,NA
2012,A3,3,3,4,1,1,NA
2012,A3,3,3,5,1,1,NA
2012,A3,3,3,6,1,1,NA
2012,A3,3,3,7,1,1,NA
2012,A3,3,3,8,1,1,NA
2012,A3,3,3,9,1,0,NA
2012,A3,3,3,10,1,1,NA
2012,A4,4,4,1,0,1,NA
2012,A4,4,4,2,1,1,NA
2012,A4,4,4,3,0,0,NA
2012,A4,4,4,4,0,0,NA
2012,A4,4,4,5,0,1,NA
2012,A4,4,4,6,1,1,NA
2012,A4,4,4,7,1,1,NA
2012,A4,4,4,8,1,1,NA
2012,A4,4,4,9,0,0,NA
2012,A4,4,4,10,1,1,NA
2012,B1,5,5,1,1,1,NA
2012,B1,5,5,2,1,1,NA
2012,B1,5,5,3,1,1,NA
2012,B1,5,5,4,0,1,NA
2012,B1,5,5,5,1,1,NA
2012,B1,5,5,6,1,0,NA
2012,B1,5,5,7,0,0,NA
2012,B1,5,5,8,1,1,NA
2012,B1,5,5,9,1,0,NA
2012,B1,5,5,10,0,1,NA
2012,B2,6,6,1,0,0,NA
2012,B2,6,6,2,0,0,NA
2012,B2,6,6,3,0,0,NA
2012,B2,6,6,4,1,1,NA
2012,B2,6,6,5,1,0,NA
2012,B2,6,6,6,0,1,NA
2012,B2,6,6,7,0,1,NA
2012,B2,6,6,8,0,0,NA
2012,B2,6,6,9,0,0,NA
2012,B2,6,6,10,1,0,NA
2012,B3,7,7,1,0,0,NA
2012,B3,7,7,2,0,0,NA
2012,B3,7,7,3,1,1,NA
2012,B3,7,7,4,1,1,NA
2012,B3,7,7,5,0,0,NA
2012,B3,7,7,6,0,0,NA
2012,B3,7,7,7,1,1,NA
2012,B3,7,7,8,0,0,NA
2012,B3,7,7,9,1,0,NA
2012,B3,7,7,10,0,0,NA
2012,B4,8,8,1,0,0,NA
2012,B4,8,8,2,0,0,NA
2012,B4,8,8,3,0,0,NA
2012,B4,8,8,4,0,0,NA
2012,B4,8,8,5,0,0,NA
2012,B4,8,8,6,0,0,NA
2012,B4,8,8,7,0,0,NA
2012,B4,8,8,8,0,0,NA
2012,B4,8,8,9,0,0,NA
2012,B4,8,8,10,0,0,NA
2012,C1,9,9,1,1,0,NA
2012,C1,9,9,2,1,1,NA
2012,C1,9,9,3,1,1,NA
2012,C1,9,9,4,1,0,NA
2012,C1,9,9,5,0,1,NA
2012,C1,9,9,6,0,1,NA
2012,C1,9,9,7,1,1,NA
2012,C1,9,9,8,0,0,NA
2012,C1,9,9,9,0,1,NA
2012,C1,9,9,10,0,0,NA
2012,C2,10,10,1,0,0,NA
2012,C2,10,10,2,1,0,NA
2012,C2,10,10,3,1,1,NA
2012,C2,10,10,4,0,0,NA
2012,C2,10,10,5,0,0,NA
2012,C2,10,10,6,0,0,NA
2012,C2,10,10,7,0,0,NA
2012,C2,10,10,8,0,0,NA
2012,C2,10,10,9,0,1,NA
2012,C2,10,10,10,1,0,NA
2012,C3,11,11,1,0,0,NA
2012,C3,11,11,2,0,0,NA
2012,C3,11,11,3,0,1,NA
2012,C3,11,11,4,0,0,NA
2012,C3,11,11,5,0,0,NA
2012,C3,11,11,6,1,0,NA
2012,C3,11,11,7,0,0,NA
2012,C3,11,11,8,1,0,NA
2012,C3,11,11,9,0,0,NA
2012,C3,11,11,10,1,0,NA
2012,D1,12,12,1,0,0,NA
2012,D1,12,12,2,1,1,NA
2012,D1,12,12,3,0,0,NA
2012,D1,12,12,4,0,0,NA
2012,D1,12,12,5,0,0,NA
2012,D1,12,12,6,0,0,NA
2012,D1,12,12,7,1,0,NA
2012,D1,12,12,8,0,0,NA
2012,D1,12,12,9,0,0,NA
2012,D1,12,12,10,0,0,NA
2012,D2,13,13,1,0,0,NA
2012,D2,13,13,2,0,0,NA
2012,D2,13,13,3,0,0,NA
2012,D2,13,13,4,0,0,NA
2012,D2,13,13,5,0,0,NA
2012,D2,13,13,6,0,0,NA
2012,D2,13,13,7,0,0,NA
2012,D2,13,13,8,0,0,NA
2012,D2,13,13,9,0,0,NA
2012,D2,13,13,10,0,0,NA
2012,E1,14,14,1,0,0,NA
2012,E1,14,14,2,0,0,NA
2012,E1,14,14,3,0,0,NA
2012,E1,14,14,4,0,0,NA
2012,E1,14,14,5,0,0,NA
2012,E1,14,14,6,0,0,NA
2012,E1,14,14,7,0,0,NA
2012,E1,14,14,8,0,0,NA
2012,E1,14,14,9,0,0,NA
2012,E1,14,14,10,1,1,NA
2012,E2,15,15,1,0,0,NA
2012,E2,15,15,2,0,0,NA
2012,E2,15,15,3,1,0,NA
2012,E2,15,15,4,0,0,NA
2012,E2,15,15,5,0,0,NA
2012,E2,15,15,6,0,0,NA
2012,E2,15,15,7,0,0,NA
2012,E2,15,15,8,0,0,NA
2012,E2,15,15,9,0,0,NA
2012,E2,15,15,10,0,0,NA
2015,A1,1,16,1,1,1,NA
2015,A1,1,16,2,1,1,NA
2015,A1,1,16,3,1,1,NA
2015,A1,1,16,4,1,1,NA
2015,A1,1,16,5,1,1,NA
2015,A1,1,16,6,0,0,NA
2015,A1,1,16,7,1,0,NA
2015,A1,1,16,8,1,1,NA
2015,A1,1,16,9,1,1,NA
2015,A1,1,16,10,1,1,NA
2015,A2,2,17,1,0,1,NA
2015,A2,2,17,2,1,1,NA
2015,A2,2,17,3,1,1,NA
2015,A2,2,17,4,1,1,NA
2015,A2,2,17,5,1,1,NA
2015,A2,2,17,6,1,1,NA
2015,A2,2,17,7,1,0,NA
2015,A2,2,17,8,1,1,NA
2015,A2,2,17,9,1,1,NA
2015,A2,2,17,10,1,1,NA
2015,A3,3,18,1,1,1,NA
2015,A3,3,18,2,1,1,NA
2015,A3,3,18,3,1,1,NA
2015,A3,3,18,4,1,1,NA
2015,A3,3,18,5,1,1,NA
2015,A3,3,18,6,1,1,NA
2015,A3,3,18,7,1,1,NA
2015,A3,3,18,8,1,1,NA
2015,A3,3,18,9,1,1,NA
2015,A3,3,18,10,1,1,NA
2015,A4,4,19,1,0,0,NA
2015,A4,4,19,2,1,1,NA
2015,A4,4,19,3,1,1,NA
2015,A4,4,19,4,1,1,NA
2015,A4,4,19,5,0,0,NA
2015,A4,4,19,6,1,1,NA
2015,A4,4,19,7,0,1,NA
2015,A4,4,19,8,0,0,NA
2015,A4,4,19,9,1,0,NA
2015,A4,4,19,10,1,1,NA
2015,B1,5,20,1,1,1,NA
2015,B1,5,20,2,0,1,NA
2015,B1,5,20,3,0,0,NA
2015,B1,5,20,4,0,0,NA
2015,B1,5,20,5,0,0,NA
2015,B1,5,20,6,0,0,NA
2015,B1,5,20,7,1,1,NA
2015,B1,5,20,8,1,1,NA
2015,B1,5,20,9,0,0,NA
2015,B1,5,20,10,1,1,NA
2015,B2,6,21,1,1,0,NA
2015,B2,6,21,2,0,0,NA
2015,B2,6,21,3,1,1,NA
2015,B2,6,21,4,1,1,NA
2015,B2,6,21,5,1,1,NA
2015,B2,6,21,6,1,1,NA
2015,B2,6,21,7,1,1,NA
2015,B2,6,21,8,0,0,NA
2015,B2,6,21,9,0,0,NA
2015,B2,6,21,10,0,1,NA
2015,B3,7,22,1,0,0,NA
2015,B3,7,22,2,0,0,NA
2015,B3,7,22,3,0,1,NA
2015,B3,7,22,4,0,1,NA
2015,B3,7,22,5,0,0,NA
2015,B3,7,22,6,1,1,NA
2015,B3,7,22,7,0,0,NA
2015,B3,7,22,8,0,0,NA
2015,B3,7,22,9,1,0,NA
