Year,Transect,node,mean,sd,MC_error,val2.5pc,median,val97.5pc,start,sample,,,,,,,,,
2012,A1,N[1],10.87,3.833,0.01108,4,11,19,3001,294000,,,,,,,,,
2012,A2,N[2],14.83,3.497,0.01108,9,15,22,3001,294000,,,,,,,,,
2012,A3,N[3],14.84,3.491,0.01104,9,15,22,3001,294000,,,,,,,,,
2012,A4,N[4],11.74,3.126,0.009826,6,11,19,3001,294000,,,,,,,,,
2012,B1,N[5],13.8,3.382,0.01046,8,14,21,3001,294000,,,,,,,,,
2012,B2,N[6],9.703,2.847,0.008902,5,9,16,3001,294000,,,,,,,,,
2012,B3,N[7],8.696,2.732,0.008252,4,8,15,3001,294000,,,,,,,,,
2012,B4,N[8],4.322,2.267,0.006658,1,4,9,3001,294000,,,,,,,,,
2012,C1,N[9],12.75,3.257,0.009778,7,12,20,3001,294000,,,,,,,,,
2012,C2,N[10],8.707,2.727,0.008163,4,8,15,3001,294000,,,,,,,,,
2012,C3,N[11],6.672,2.194,0.005793,3,6,11,3001,294000,,,,,,,,,
2012,D1,N[12],4.944,1.973,0.005283,2,5,9,3001,294000,,,,,,,,,
2012,D2,N[13],2.868,1.793,0.004966,0,3,7,3001,294000,,,,,,,,,
2012,E1,N[14],4.024,1.855,0.005179,1,4,8,3001,294000,,,,,,,,,
2012,E2,N[15],4.028,1.854,0.0048,1,4,8,3001,294000,,,,,,,,,
2015,A1,N[16],10.85,2.73,0.007439,6,11,17,3001,294000,,,,,,,,,
2015,A2,N[17],11.7,2.831,0.007479,7,11,18,3001,294000,,,,,,,,,
2015,A3,N[18],11.69,2.832,0.007657,7,11,18,3001,294000,,,,,,,,,
2015,A4,N[19],9.169,2.525,0.006728,5,9,15,3001,294000,,,,,,,,,
2015,B1,N[20],7.497,2.294,0.006332,4,7,13,3001,294000,,,,,,,,,
2015,B2,N[21],7.368,2.122,0.005947,4,7,12,3001,294000,,,,,,,,,
2015,B3,N[22],5.268,1.837,0.004995,2,5,9,3001,294000,,,,,,,,,
2015,B4,N[23],5.271,1.839,0.005118,2,5,9,3001,294000,,,,,,,,,
2015,C1,N[24],8.069,2.208,0.006413,4,8,13,3001,294000,,,,,,,,,
2015,C2,N[25],7.37,2.122,0.006291,4,7,12,3001,294000,,,,,,,,,
2015,C3,N[26],4.55,1.729,0.004853,2,4,8,3001,294000,,,,,,,,,
2015,D1,N[27],1.922,1.458,0.004261,0,2,5,3001,294000,,,,,,,,,
2015,D2,N[28],3.023,1.501,0.004201,1,3,6,3001,294000,,,,,,,,,
2015,E1,N[29],3.802,1.633,0.004412,1,4,7,3001,294000,,,,,,,,,
2015,E2,N[30],1.917,1.455,0.004282,0,2,5,3001,294000,,,,,,,,,
2021,A1,N[31],14.71,3.4,0.009517,9,14,22,3001,294000,,,,,,,,,
2021,A2,N[32],14.71,3.398,0.009624,9,14,22,3001,294000,,,,,,,,,
2021,A3,N[33],14.71,3.409,0.009571,9,14,22,3001,294000,,,,,,,,,
2021,A4,N[34],12.5,3.124,0.008678,7,12,19,3001,294000,,,,,,,,,
2021,B1,N[35],10.4,2.843,0.007961,5,10,17,3001,294000,,,,,,,,,
2021,B2,N[36],11.44,2.973,0.008308,6,11,18,3001,294000,,,,,,,,,
2021,B3,N[37],5.277,2.206,0.00567,2,5,10,3001,294000,,,,,,,,,
2021,B4,N[38],5.282,2.209,0.00563,2,5,10,3001,294000,,,,,,,,,
2021,C1,N[39],6.342,2.326,0.006327,2,6,11,3001,294000,,,,,,,,,
2021,C2,N[40],13.59,3.267,0.009343,8,13,21,3001,294000,,,,,,,,,
2021,C3,N[41],6.077,1.948,0.008387,3,6,10,3001,294000,,,,,,,,,
2021,D1,N[42],3.631,1.535,0.006039,1,3,7,3001,294000,,,,,,,,,
2021,D2,N[43],1.282,1.219,0.004457,0,1,4,3001,294000,,,,,,,,,
2021,E1,N[44],2.349,1.261,0.004686,1,2,5,3001,294000,,,,,,,,,
2021,E2,N[45],2.349,1.257,0.004622,1,2,5,3001,294000,,,,,,,,,
,,a.p,0.9925,0.3371,0.002697,0.2397,1.021,1.609,3001,294000,,,,,,,,,
,,b.year,-8.71E-04,1,0.001872,-1.958,-0.002356,1.958,3001,294000,,,,,,,,,
