Year,Transect,node,mean,sd,MC_error,val2.5pc,median,val97.5pc,start,sample,,
2012,A1,N[1],130.4,4549,8.23,0,1,490,1001,300000,,
2012,A2,N[2],250.1,482.4,14.85,19,86,1634,1001,300000,,
2012,A3,N[3],635.1,1889,60.76,19,92,6590,1001,300000,,
2012,A4,N[4],25.55,84.01,2.391,5,13,130,1001,300000,,
2012,B1,N[5],3396,10600,343.7,12,82,37510,1001,300000,,
2012,B2,N[6],7.445,3.735,0.0176,2,7,16,1001,300000,,
2012,B3,N[7],5.399,2.863,0.01173,2,5,12,1001,300000,,
2012,B4,N[8],0.1497,0.4721,0.001733,0,0,1,1001,300000,,
2012,C1,N[9],72.91,193.9,5.771,7,21,581,1001,300000,,
2012,C2,N[10],5.408,2.86,0.01141,2,5,12,1001,300000,,
2012,C3,N[11],5.403,2.883,0.01231,1,5,12,1001,300000,,
2012,D1,N[12],2.494,1.62,0.005921,1,2,7,1001,300000,,
2012,D2,N[13],0.1512,0.4749,1.73E-03,0,0,2,1001,300000,,
2012,E1,N[14],1.696,1.081,0.003716,1,1,5,1001,300000,,
2012,E2,N[15],1.696,1.081,0.003857,1,1,5,1001,300000,,
2015,A1,N[16],227,522.2,16.25,12,51,1764,1001,300000,,
2015,A2,N[17],384,974.9,31,19,95,3721,1001,300000,,
2015,A3,N[18],365,884.7,28.08,18,87,3185,1001,300000,,
2015,A4,N[19],20.34,42.32,1.09,5,13,89,1001,300000,,
2015,B1,N[20],7.758,9.274,0.1788,2,7,17,1001,300000,,
2015,B2,N[21],24.84,78.53,2.299,5,13,108,1001,300000,,
2015,B3,N[22],5.427,2.874,0.01167,2,5,12,1001,300000,,
2015,B4,N[23],6.293,33.03,0.8837,2,5,12,1001,300000,,
2015,C1,N[24],75.41,238.2,7.334,7,21,567,1001,300000,,
2015,C2,N[25],42.24,152.7,4.559,5,13,407,1001,300000,,
2015,C3,N[26],3.752,2.204,0.008425,1,3,9,1001,300000,,
2015,D1,N[27],0.1525,0.4781,0.001823,0,0,2,1001,300000,,
2015,D2,N[28],1.704,1.082,0.003727,1,1,5,1001,300000,,
2015,E1,N[29],2.494,1.624,0.005954,1,2,7,1001,300000,,
2015,E2,N[30],2.765,60.35,1.872,0,0,2,1001,300000,,
2021,A1,N[31],365.4,795.9,25.04,19,95,2948,1001,300000,,
2021,A2,N[32],465.2,1508,48.38,18,92,4524,1001,300000,,
2021,A3,N[33],424,1175,37.58,19,92,3109,1001,300000,,
2021,A4,N[34],25.09,60.92,1.815,7,16,89,1001,300000,,
2021,B1,N[35],9.291,4.131,0.01724,3,9,19,1001,300000,,
2021,B2,N[36],12.8,12,0.2236,5,12,26,1001,300000,,
2021,B3,N[37],1.651,1.019,0.003417,1,1,4,1001,300000,,
2021,B4,N[38],1.655,1.023,0.003428,1,1,4,1001,300000,,
2021,C1,N[39],2.397,1.529,0.005426,1,2,6,1001,300000,,
2021,C2,N[40],183.7,491.9,15.42,10,32,1852,1001,300000,,
2021,C3,N[41],12.68,8.231,0.1274,5,12,26,1001,300000,,
2021,D1,N[42],3.576,2.062,0.007624,1,3,9,1001,300000,,
2021,D2,N[43],0.145,0.4616,0.001712,0,0,1,1001,300000,,
2021,E1,N[44],1.66,1.034,0.003551,1,1,4,1001,300000,,
